4.74	4.8
2.5	11.97
3.45	3.69
7.1	4.56
7.7	5.82
6.05	9.73
7.58	2.09
3.04	9.67
7.9	1.55
7.55	1.31
7.7	8.75
1.56	2.22
4.98	8.01
1.13	6.11
1.05	7.16
1.94	10.35
6.95	1.95
0.91	4.45
3.21	11.71
5.79	8.62
1.54	11.88
1.56	1.27
4.45	11.73
2.71	2.41
3.78	0.46
1.46	2.58
6.88	1.31
4.36	2.87
5.99	10.1
1.27	9.93
3.28	11.53
1.71	10.11
1.94	7.76
1.79	4.29
0.64	5.7
0.36	2.3
5.73	10.92
7.25	3.32
0.86	11.91
4.24	3.67
0.21	9.25
5.23	11.3
3.34	2.39
5.23	7.5
4.05	8.91
6.78	10.03
5.46	9.6
0.22	2.02
7.61	4.53
3.37	11.34
4.69	0.19
3.69	8.9
6.71	11.81
6.14	4.44
1.17	0.76
0.27	4.26
3.1	3.65
3.16	11.85
1.73	2.02
0.44	11.87
5.62	6.94
0.45	2.85
3.54	4.54
0.65	5.79
5.78	1.14
2.62	4.91
5.25	9.47
3.57	9.5
3.39	4.15
1.42	3.13
2.92	5.67
6.96	2.01
1.08	9.36
0.6	6.51
4.47	5.65
4.52	11.45
0.76	3.2
1.07	10.9
4.98	1.16
0.63	4.58
5.79	8.6
7.04	7.26
4.2	4.29
5.34	1.18
4.92	9.62
6.74	2.84
5.94	11.31
5.07	4.11
0.53	4.89
5.22	11.26
2.67	4.54
4.39	10.85
7.01	0.52
0.04	1.2
0.37	1.95
3.63	9.24
3.69	8.06
6.44	4.83
6.65	6.43
7.86	10.17
0.21	10.48
0.53	8.45
2.41	6.76
7.83	5.35
3.45	9.18
3.18	10.64
5.55	8.09
6.17	1.44
7.47	10.45
2.51	8.52
1.65	9.45
4.3	1.98
1.36	5.1
1.81	9.57
1.97	2.63
6.1	6.61
5.14	4.63
4.95	5.42
3.06	9.4
3.89	8.04
1.6	6.34
2.14	11.06
3.25	2.13
1.79	9.21
2.88	10.29
5.29	2.71
5.54	1.16
7.58	8.46
2.43	7.48
6.22	3.91
6.45	8.17
6.28	11.48
3.6	0.18
1.75	6.04
5.44	10.62
0.16	11.38
5.06	0.75
5.31	1.11
